Ticker,Name,Last,MktCap,PeriodDateQ,SectorCode,IndCode
FLMN,Falcon Minerals Corp,4.26,196.36,N/A,N/A,N/A
FLT,FleetCor Technologies Inc,283.65,23731.91,N/A,N/A,N/A
FLY,Fly Leasing Ltd,12.17,370.95,N/A,N/A,N/A
FMAO,Farmers & Merchants Bancorp Inc,22.85,255.86,N/A,N/A,N/A
FMBH,First Mid Bancshares Inc,35.69,597.49,N/A,N/A,N/A
FMBI,First Midwest Bancorp Inc,19.19,2193.34,N/A,N/A,N/A
FMBL,Farmers & Merchants Bank/CA,7250,917.97,N/A,N/A,N/A
FMBM,F & M Bank Corp,26.65,85.26,N/A,N/A,N/A
FMCB,Farmers & Merchants Bancorp,759,602.31,N/A,N/A,N/A
FMCC,Federal Home Loan Mortgage Corp,1.78,1157.11,N/A,N/A,N/A
FMFG,Farmers and Merchants Bancshares Inc,18,54.2,N/A,N/A,N/A
FMFP,First Community Financial Corp,17.5,49.43,N/A,N/A,N/A
FMHG,Fah Mai Holdings Group Inc,3,6.5,N/A,N/A,N/A
FMNB,Farmers National Banc Corp/OH,14.09,397.2,N/A,N/A,N/A
FNB,F.N.B. Corp,11.85,3811.31,N/A,N/A,N/A
FNCB,FNCB Bancorp Inc,7.4,149.82,N/A,N/A,N/A
FNF,Fidelity National Financial Inc FNF Group,40.67,11942.72,N/A,N/A,N/A
FNFI,First Niles Financial Inc,12.5,13.91,N/A,N/A,N/A
FNHC,FedNat Holding Co,7.16,98.22,N/A,N/A,N/A
FNHM,FNBH Bancorp Inc,2.66,73.87,N/A,N/A,N/A
FNLC,First Bancorp Inc/ME (The),25.82,282.74,N/A,N/A,N/A
FNLIF,First National Financial Corp,34.34,2059.35,N/A,N/A,N/A
FNMA,Federal National Mortgage Association,1.85,2142.46,N/A,N/A,N/A
FNQQF,Fineqia Intl Inc,0.03,22.88,N/A,N/A,N/A
FNRN,First Northern Community Bancorp,10.75,139.42,N/A,N/A,N/A
FNWB,First Northwest Bancorp,16.2,166,N/A,N/A,N/A
FOCS,Focus Financial Partners Inc,52,2660.25,N/A,N/A,N/A
FOTB,First Ottawa Bancshares Inc,74.99,48.44,N/A,N/A,N/A
FOUR,Shift4 Payments Inc,79.99,3557.18,N/A,N/A,N/A
FRAF,Franklin Financial Services Corp,27.13,118.58,N/A,N/A,N/A
FRBA,First Bank,10.47,206.34,N/A,N/A,N/A
FRBK,Republic First Bancorp Inc,3.45,203.05,N/A,N/A,N/A
FRC,First Republic Bank,169.8,29566.25,N/A,N/A,N/A
FRFC,First Robinson Financial Corp,50.25,28.16,N/A,N/A,N/A
FRFHF,Fairfax Financial Holdings Ltd,400.6,10486.29,N/A,N/A,N/A
FRHC,Freedom Holding Corp,55.84,3263.47,N/A,N/A,N/A
FRHLF,Freehold Royalties Ltd,5.46,648.36,N/A,N/A,N/A
FRME,First Merchants Corp,43.25,2332.14,N/A,N/A,N/A
FRSB,First Resource Bank,9.23,25.66,N/A,N/A,N/A
FSBW,FS Bancorp Inc,59.2,246.09,N/A,N/A,N/A
FSEA,First Seacoast Bancorp,9.09,53.29,N/A,N/A,N/A
FSFG,First Savings Financial Group Inc,61.58,146.25,N/A,N/A,N/A
FSK,FS KKR Capital Corp,18.76,2321.66,N/A,N/A,N/A
FSKR,FS KKR Capital Corp II,18.17,3099.75,N/A,N/A,N/A
FSRL,First Reliance Bancshares Inc,9.95,85.21,N/A,N/A,N/A
FSWA,First Sound Bank,4.8,15.14,N/A,N/A,N/A
FTAI,Fortress Transportation and Infrastructure Investors LLC,26.47,2266.29,N/A,N/A,N/A
FTGI,Finotec Group Inc.,0.03,9.9,N/A,N/A,N/A
FULT,Fulton Financial Corp,15.64,2539.15,N/A,N/A,N/A
FUNC,First United Corp,17.5,122.31,N/A,N/A,N/A
FUSB,First US Bancshares Inc,9,55.59,N/A,N/A,N/A
FUTU,Futu Holdings Ltd,174.52,11738.06,N/A,N/A,N/A
FVCB,FVCBankcorp Inc,15.86,214.28,N/A,N/A,N/A
FXLG,FS Bancorp,53.5,116.28,N/A,N/A,N/A
FXNC,First National Corp/VA,17.4,84.57,N/A,N/A,N/A
GABC,German American Bancorp Inc,38.5,1020.33,N/A,N/A,N/A
GAIN,Gladstone Investment Corp,11.9,395.14,N/A,N/A,N/A
GATX,GATX Corp.,99.04,3471.09,N/A,N/A,N/A
GB,Global Blue Group Holding AG,12.99,1027.02,N/A,N/A,N/A
GBCI,Glacier Bancorp Inc,53.58,5112.47,N/A,N/A,N/A
GBDC,Golub Capital BDC Inc,14.85,2483.8,N/A,N/A,N/A
GBL,Gamco Investors Inc,20.18,555.01,N/A,N/A,N/A
GBLBF,Groupe Bruxelles Lambert SA,101.33,15590.97,N/A,N/A,N/A
GBLI,Global Indemnity Group LLC,28,401.71,N/A,N/A,N/A
GBNY,Generations Bancorp NY Inc,9.63,23.72,N/A,N/A,N/A
GBOOY,Grupo Financiero Banorte SA De CV Gfnorte,25.61,14771.37,N/A,N/A,N/A
GCBC,Greene County Bancorp Inc,24.3,206.88,N/A,N/A,N/A
GCMG,GCM Grosvenor Inc,12.84,368.98,N/A,N/A,N/A
GDET,GD Entertainment & Technology Inc,0,5.61,N/A,N/A,N/A
GDOT,Green Dot Corp,52.63,2813.55,N/A,N/A,N/A
GECC,Great Elm Capital Corp,3.22,35.23,N/A,N/A,N/A
GEG,GREAT ELM GROUP INC,3.25,83.49,N/A,N/A,N/A
GFED,Guaranty Federal Bancshares Inc,18.5,80.25,N/A,N/A,N/A
GFN,General Finance Corp,11.72,354.27,N/A,N/A,N/A
GGAL,"Grupo Financiero Galicia Sa, Buenos Aires",8.03,919.87,N/A,N/A,N/A
GHL,Greenhill & Co Inc,15.1,286.35,N/A,N/A,N/A
GHLD,Guild Holdings Co,15.91,954.6,N/A,N/A,N/A
GJNSY,Gjensidige Forsikring BA,23.81,11903.72,N/A,N/A,N/A
GL,Globe Life Inc,96.54,10142.27,N/A,N/A,N/A
GLAD,Gladstone Capital Corp,9.78,317.76,N/A,N/A,N/A
GLBR,Global Brokerage Inc,0.07,0.59,N/A,N/A,N/A
GLBZ,Glen Burnie Bancorp,10.95,31.12,N/A,N/A,N/A
GLRE,Greenlight Capital Re Ltd,7.87,278.35,N/A,N/A,N/A
GMHLY,Gam Holding Ltd,0.49,383.75,N/A,N/A,N/A
GMICF,Sagen MI Canada Inc,34.35,2966.4,N/A,N/A,N/A
GMPXF,RF Capital Group Inc,1.39,103.03,N/A,N/A,N/A
GNBF,GNB Financial Services Inc,83.9,65.36,N/A,N/A,N/A
GNOG,Golden Nugget Online Gaming Inc,15.54,491.45,N/A,N/A,N/A
GNRV,Grand River Communications Inc,5.9,39.73,N/A,N/A,N/A
GNTY,Guaranty Bancshares Inc,30.89,371.57,N/A,N/A,N/A
GNW,Genworth Financial Inc,3.16,1598.96,N/A,N/A,N/A
GOCO,GoHealth Inc,14.53,4666.75,N/A,N/A,N/A
GOEV,Canoo Inc,14.66,546.92,N/A,N/A,N/A
GOVB,Gouverneur Bancorp Inc,11.99,24.36,N/A,N/A,N/A
GPKUF,Grand Peak Capital Corp,0.11,11.95,N/A,N/A,N/A
GPMT,Granite Point Mortgage Trust Inc,10.67,589.04,N/A,N/A,N/A
GPN,Global Payments Inc.,196.06,58491.06,N/A,N/A,N/A
GRLT,Grillit Inc,0,9.52,N/A,N/A,N/A
GRNBF,Greenbank Capital Inc,0.34,16.75,N/A,N/A,N/A
GROW,U.S. Global Investors Inc,7.83,118.01,N/A,N/A,N/A
GRRB,Grandsouth Bancorporation,20.99,110.66,N/A,N/A,N/A
GRSFF,Greencastle Resources Ltd.,0.12,4.75,N/A,N/A,N/A
GS,Goldman Sachs Group Inc (The),316.87,109031.39,N/A,N/A,N/A
GSBC,Great Southern Bancorp Inc,52.49,721.87,N/A,N/A,N/A
GSBD,Goldman Sachs BDC Inc,18.06,730.49,N/A,N/A,N/A
GSBX,Golden State Bancorp,14,25.71,N/A,N/A,N/A
GSHD,Goosehead Insurance Inc,165.37,2893.81,N/A,N/A,N/A
GSKY,GreenSky Inc,5.76,433.77,N/A,N/A,N/A
GSMG,Glory Star New Media Group Holdings Limited,3.66,150.81,N/A,N/A,N/A
GTPS,Great American Bancorp Inc,34.5,14.34,N/A,N/A,N/A
GULTU,Gulf Coast Ultra Deep Royalty Trust,0.04,8.4,N/A,N/A,N/A
GWB,Great Western Bancorp Inc,27.32,1505.47,N/A,N/A,N/A
GWGH,GWG Holdings Inc,6.87,210.19,N/A,N/A,N/A
GWLIF,Great-West Lifeco Inc,25.25,23427.36,N/A,N/A,N/A
GWTI,Greenway Technologies Inc,0.03,10.09,N/A,N/A,N/A
HACBY,Hachijuni Bank Ltd,34.83,1705.18,N/A,N/A,N/A
HAFC,Hanmi Financial Corp,17.14,526.5,N/A,N/A,N/A
HALL,Hallmark Financial Services Inc,3.95,71.66,N/A,N/A,N/A
HARL,Harleysville Financial Corp,23.2,86.89,N/A,N/A,N/A
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,57.75,4415.42,N/A,N/A,N/A
HBAN,Huntington Bancshares Inc,15.57,15837.75,N/A,N/A,N/A
HBCP,Home Bancorp Inc,33.14,289.65,N/A,N/A,N/A
HBIA,Hills Bancorporation,62.25,581.79,N/A,N/A,N/A
HBMD,Howard Bancorp Inc,13.86,259.81,N/A,N/A,N/A
HBNC,Horizon Bancorp Inc,18.29,802.58,N/A,N/A,N/A
HBSI,Highlands Bankshares Inc,35.77,47.82,N/A,N/A,N/A
HBT,HBT Financial Inc,16.05,440.69,N/A,N/A,N/A
HCAP,Harvest Capital Credit Corp,8.09,48.2,N/A,N/A,N/A
HCBN,HCB Financial Corp,26.5,28.25,N/A,N/A,N/A
HCGI,Huntwicke Capital Group Inc,7.58,45.91,N/A,N/A,N/A
HCI,HCI Group Inc,59.81,466.14,N/A,N/A,N/A
HDB,H D F C Bank Ltd,80.1,147055.59,N/A,N/A,N/A
HDII,Hypertension Diagnostics Inc,0.04,5.68,N/A,N/A,N/A
HFBK,Harford Bank Aberdeen Md,23,32.94,N/A,N/A,N/A
HFBL,Home Federal Bancorp/LA,29.74,47.73,N/A,N/A,N/A
HFWA,Heritage Financial Corp,25.33,909.66,N/A,N/A,N/A
HGBL,Heritage Global Inc,3.24,96.31,N/A,N/A,N/A
HGTXU,Hugoton Royalty Trust,0.16,6.4,N/A,N/A,N/A
HIFS,Hingham Institution for Savings,244.23,522.14,N/A,N/A,N/A
HIG,Hartford Financial Services Group Inc. (The),51.03,18293.67,N/A,N/A,N/A
HIMS,Hims & Hers Health Inc,17.72,445.77,N/A,N/A,N/A
HKIB,AMTD International Inc,5.7,355.27,N/A,N/A,N/A
HKXCY,Hong Kong Exchanges and Clearing Ltd,72.54,91739.39,N/A,N/A,N/A
HLAN,Heartland Banccorp,86.85,173.05,N/A,N/A,N/A
HLFN,Home Loan Financial Corp,30.5,42.67,N/A,N/A,N/A
HLI,Houlihan Lokey Inc,65.56,4529.95,N/A,N/A,N/A
HLNE,Hamilton Lane Inc,96.45,3367.9,N/A,N/A,N/A
HMCBF,Home Capital Group Inc,25.22,1307.39,N/A,N/A,N/A
HMN,Horace Mann Educators Corp,38.79,1606.46,N/A,N/A,N/A
HMNF,HMN Financial Inc,19.55,93.24,N/A,N/A,N/A
HMPT,Home Point Capital Inc,11.54,1602.45,N/A,N/A,N/A
HMST,HomeStreet Inc,43.18,941.19,N/A,N/A,N/A
HNNA,Hennessy Advisors Inc,9.1,66.97,N/A,N/A,N/A
HNRC,Houston Nat Res Corp,2.9,36.51,N/A,N/A,N/A
HOMB,Home Bancshares Inc,24,3963.11,N/A,N/A,N/A
HONE,HarborOne Bancorp Inc,11.86,678.74,N/A,N/A,N/A
HOPE,Hope Bancorp Inc,12.81,1579.02,N/A,N/A,N/A
HRGG,Heritage NOLA Bancorp Inc,12.8,17.52,N/A,N/A,N/A
HRSR,Horrison Resources Inc,0.95,843.52,N/A,N/A,N/A
HRTG,Heritage Insurance Holdings Inc,10.19,282.76,N/A,N/A,N/A
HRZN,Horizon Technology Finance Corp,14.45,265.39,N/A,N/A,N/A
HSBC,HSBC Holdings PLC,29.98,122120.71,N/A,N/A,N/A
HSBI,Heritage Southeast Bancorp,14.15,102.26,N/A,N/A,N/A
HTBI,HomeTrust Bancshares Inc,22.87,369.49,N/A,N/A,N/A
HTBK,Heritage Commerce Corp,9.35,560.53,N/A,N/A,N/A
HTGC,Hercules Capital Inc,15.62,1785.63,N/A,N/A,N/A
HTH,Hilltop Holdings Inc,33.18,2726.89,N/A,N/A,N/A
HTLF,Heartland Financial USA Inc,46.45,1955.26,N/A,N/A,N/A
HTOO,Fusion Fuel Green PLC,18.56,121.77,N/A,N/A,N/A
HUIZ,Huize Holding Ltd,11.6,515.67,N/A,N/A,N/A
HUSN,Hudson Capital Inc,4.42,125.82,N/A,N/A,N/A
HUTMF,Hut 8 Mining Corp,10.39,1005.05,N/A,N/A,N/A
HVBC,HV BANCORP INC,17.89,39.17,N/A,N/A,N/A
HVBTF,Hive Blockchain Technologies Ltd,4.97,1717.98,N/A,N/A,N/A
HVRRY,Hannover Rueck SE,85.63,20650.64,N/A,N/A,N/A
HWBK,Hawthorn Bancshares Inc,20,129.6,N/A,N/A,N/A
HWC,Hancock Whitney Corp,38.75,3360.71,N/A,N/A,N/A
HWEN,Home Financial Bancorp,9.95,11.5,N/A,N/A,N/A
HX,Xiaobai Maimai Inc,2.69,43.77,N/A,N/A,N/A
HYLN,Hyliion Holdings Corp,18.47,537.96,N/A,N/A,N/A
IAFNF,IA Financial Corp,49.98,5350.86,N/A,N/A,N/A
IBCP,Independent Bank Corp,20.92,457.18,N/A,N/A,N/A
IBGR,Nexus Energy Services Inc,0.13,17.54,N/A,N/A,N/A
IBKR,Interactive Brokers Group Inc,73.52,5812.09,N/A,N/A,N/A
IBN,Icici Bank Ltd,16.95,58517.76,N/A,N/A,N/A
IBOC,International Bancshares Corp,43.53,2754.27,N/A,N/A,N/A
IBOKY,Industrial Bank of Korea,7.58,5601.29,N/A,N/A,N/A
IBTX,Independent Bank Group Inc,71.55,3086.46,N/A,N/A,N/A
ICBK,County Bancorp Inc,22.53,139.64,N/A,N/A,N/A
ICCH,Icc Holding Inc,14.3,43.34,N/A,N/A,N/A
ICE,Intercontinental Exchange Inc,111.72,62674.92,N/A,N/A,N/A
ICLTF,Greenfirst Forest Products Inc,2.1,45.8,N/A,N/A,N/A
ICMB,Investcorp Credit Management BDC Inc,5.2,72.32,N/A,N/A,N/A
ID,PARTS iD Inc,8.94,121.79,N/A,N/A,N/A
IDCBY,Industrial & Commercial Bank of China Ltd,13.23,57422.94,N/A,N/A,N/A
IDKFF,ThreeD Capital Inc,1.28,42.27,N/A,N/A,N/A
IFCZF,Intact Financial Corp,114.84,16424.2,N/A,N/A,N/A
IFS,Intercorp Financial Services Inc,35.06,4046.73,N/A,N/A,N/A
IGC,India Globalization Capital Inc,1.97,81.37,N/A,N/A,N/A
IGIC,International General Insurance Holdings Ltd,8.13,393.49,N/A,N/A,N/A
IGIFF,IGM Financial Inc.,27.75,6613.06,N/A,N/A,N/A
IMH,Impac Mortgage Holdings Inc.,3.32,70.48,N/A,N/A,N/A
IMXI,International Money Express Inc,14.99,570.52,N/A,N/A,N/A
INBK,First Internet Bancorp,33.45,327.83,N/A,N/A,N/A
INDB,Independent Bank Corp.,85.02,2802.74,N/A,N/A,N/A
ING,ING Groep NV,10.97,42784.1,N/A,N/A,N/A
INPCF,Input Capital Corp,0.77,39.95,N/A,N/A,N/A
INTV,Integrated Ventures Inc,0.69,91.15,N/A,N/A,N/A
IOFB,Iowa First Bancshares Corp,28.99,32.76,N/A,N/A,N/A
IOUFF,IOU Financial Inc,0.1,8.82,N/A,N/A,N/A
IROQ,IF Bancorp Inc,21,63.8,N/A,N/A,N/A
ISBA,Isabella Bank Corp,20,159.94,N/A,N/A,N/A
ISBC,Investors Bancorp Inc,12.86,3067.76,N/A,N/A,N/A
ISNPY,Intesa Sanpaolo SPA,15.29,49525.01,N/A,N/A,N/A
ISTR,Investar Holding Corp,19.03,201.89,N/A,N/A,N/A
ISUN,iSun Inc,13.9,73.64,N/A,N/A,N/A
ITCB,Itau Corpbanca,5.59,1909.57,N/A,N/A,N/A
ITIC,Investors Title Co,160.7,304.04,N/A,N/A,N/A
ITJTY,Intrum Justitia AB,27.49,3322.14,N/A,N/A,N/A
ITNM,International Monetary Systems,6,3.15,N/A,N/A,N/A
IVFZF,Invictus Financial Inc,0.04,0.97,N/A,N/A,N/A
IVR,Invesco Mortgage Capital Inc,3.89,705.55,N/A,N/A,N/A
IVZ,Invesco Ltd,22.73,10435.34,N/A,N/A,N/A
IWSH,Wright Investors Service Holdings Inc,0.22,4.27,N/A,N/A,N/A
IX,Orix Corp,84.76,20725.9,N/A,N/A,N/A
JBAXY,Julius Baer Gruppe AG,12.28,13738.54,N/A,N/A,N/A
JDVB,JD Bancshares Inc,47,73.26,N/A,N/A,N/A
JEF,Jefferies Financial Group Inc,29.21,7295.21,N/A,N/A,N/A
JFBC,Jeffersonville Bancorp,17.11,72.45,N/A,N/A,N/A
JFIN,Jiayin Group Inc,5.9,147.65,N/A,N/A,N/A
JFU,9F Inc,2.21,284.03,N/A,N/A,N/A
JFWV,Jefferson Security Bank,85,24.51,N/A,N/A,N/A
JGFCF,Jaguar Financial Corp,0.25,2.79,N/A,N/A,N/A
JHG,Janus Henderson Group PLC,29.14,5209.01,N/A,N/A,N/A
JMP,JMP Group LLC,5.93,116.44,N/A,N/A,N/A
JMSB,John Marshall Bancorp Inc,16.15,219.75,N/A,N/A,N/A
JNES,Jonestown Bank & Trust Co,23,55.82,N/A,N/A,N/A
JP,Jupai Holdings Ltd,3.23,108.9,N/A,N/A,N/A
JPM,JPMorgan Chase & Co,149.41,455610.85,N/A,N/A,N/A
JPXGY,Japan Exchange Group Inc,11.45,12253.68,N/A,N/A,N/A
JRJC,China Finance Online Co Ltd,13.88,33.89,N/A,N/A,N/A
JRVR,James River Group Holdings Ltd,47.13,1442.66,N/A,N/A,N/A
JUVF,Juniata Valley Financial Corp,17,85.43,N/A,N/A,N/A
KAVL,Kaival Brands Innovations Group Inc,2.87,1642.69,N/A,N/A,N/A
KB,KB Financial Group Inc,38.92,15164.57,N/A,N/A,N/A
KBCSY,KBC Group SA,35.82,29827.3,N/A,N/A,N/A
KBPH,Kyto Technology and Life Science Inc,2,19.6,N/A,N/A,N/A
KCLI,Kansas City Life Insurance Co,43.5,421.23,N/A,N/A,N/A
KDCCF,Kadestone Capital Corp,0.01,0.19,N/A,N/A,N/A
KEY,KeyCorp,20.49,19993.59,N/A,N/A,N/A
KFFB,Kentucky First Federal Bancorp,7.16,58.83,N/A,N/A,N/A
KHRIF,Cypherpunk Holdings Inc,0.36,36.1,N/A,N/A,N/A
KINS,Kingstone Cos Inc,7.27,77.61,N/A,N/A,N/A
KISB,Kish Bancorp Inc,28.8,74.97,N/A,N/A,N/A
KKR,KKR & Co Inc,45.35,25980.73,N/A,N/A,N/A
KMPR,Kemper Corp,77.08,5138.61,N/A,N/A,N/A
KNSL,Kinsale Capital Group Inc,175.95,3987.34,N/A,N/A,N/A
KOSK,One Step Vending Corp,0.01,4.18,N/A,N/A,N/A
KPCPY,Kasikornbank Public Co Ltd,18.17,10765.04,N/A,N/A,N/A
KREF,KKR Real Estate Finance Trust Inc,18.5,1028.96,N/A,N/A,N/A
KRNY,Kearny Financial Corp,11.23,921.74,N/A,N/A,N/A
KRP,Kimbell Royalty Partners LP,9.84,383.25,N/A,N/A,N/A
KSBI,KS Bancorp Inc,27.75,30.74,N/A,N/A,N/A
KTHN,Katahdin Bankshares Corp,19.61,64.52,N/A,N/A,N/A
KTYB,Kentucky Bancshares Inc,35.4,210.5,N/A,N/A,N/A
L,Loews Corp,49.48,13320.56,N/A,N/A,N/A
LADR,Ladder Capital Corp,10.92,1208.78,N/A,N/A,N/A
LARK,Landmark Bancorp Inc,25.89,123,N/A,N/A,N/A
LAZ,Lazard Ltd,41.04,4309.44,N/A,N/A,N/A
LBAI,Lakeland Bancorp Inc,15.61,787.99,N/A,N/A,N/A
LBC,Luther Burbank Corp,10.46,546.22,N/A,N/A,N/A
LC,LendingClub Corp,12.25,939.1,N/A,N/A,N/A
LCNB,LCNB Corp,17.08,219.62,N/A,N/A,N/A
LEVL,Level One Bancorp Inc,22.12,168.86,N/A,N/A,N/A
LFC,China Life Insurance Co Ltd,10.93,16266.41,N/A,N/A,N/A
LFGP,Ledyard Financial Group Inc,22.1,73.44,N/A,N/A,N/A
LFT,Lument Finance Trust Inc,3.3,82.31,N/A,N/A,N/A
LGGNY,Legal & General Group PLC,18.67,22159.17,N/A,N/A,N/A
LGYV,Legacy Ventures International Inc,2,0.63,N/A,N/A,N/A
LIBC,Liberty Bancorp/Ca,22.5,81.34,N/A,N/A,N/A
LKFN,Lakeland Financial Corp,66.91,1688.79,N/A,N/A,N/A
LMFA,LM Funding America Inc,1.88,28.99,N/A,N/A,N/A
LMND,Lemonade Inc,137.25,7766.16,N/A,N/A,N/A
LMST,Limestone Bancorp Inc,14.65,109.86,N/A,N/A,N/A
LNC,Lincoln National Corp,57.06,10974.33,N/A,N/A,N/A
LNSTY,London Stock Exchange Group PLC,33.86,47293.46,N/A,N/A,N/A
LOAN,Manhattan Bridge Capital,5.39,51.85,N/A,N/A,N/A
LOB,Live Oak Bancshares Inc,50.66,2055.58,N/A,N/A,N/A
LOGQ,Logicquest Technology Inc,0.65,1.49,N/A,N/A,N/A
LOTZ,CarLotz Inc,9.76,372.8,N/A,N/A,N/A
LPBC,Lincoln Park Bancorp,6.6,11.9,N/A,N/A,N/A
LPLA,LPL Financial Holdings Inc,134.43,10683.25,N/A,N/A,N/A
LRCDF,Laurentian Bank Of Canada,25.49,1102.13,N/A,N/A,N/A
LRSV,Link Reservations Inc,0.05,12.11,N/A,N/A,N/A
LSBK,Lake Shore Bancorp Inc,15.5,90.27,N/A,N/A,N/A
LSEA,Landsea Homes Corp,9.09,146.35,N/A,N/A,N/A
LSFG,LifeStore Financial Group,37,38.89,N/A,N/A,N/A
LU,Lufax Holding Ltd,15.35,18712.77,N/A,N/A,N/A
LVVV,Livewire Ergogenics Inc,0.02,19.98,N/A,N/A,N/A
LX,LexinFintech Holdings Ltd,12.62,1662.01,N/A,N/A,N/A
LYBC,Lyons Bancorp Inc,40.11,127.28,N/A,N/A,N/A
LYG,Lloyds Banking Group PLC,2.12,37503.95,N/A,N/A,N/A
LYL,Dragon Victory International Ltd,2.97,33.92,N/A,N/A,N/A
MA,Mastercard Inc,340.66,338956.7,N/A,N/A,N/A
MAAL,Marketing Alliance Inc,2.63,21.12,N/A,N/A,N/A
MAIN,Main Street Capital Corp,35.63,2356.42,N/A,N/A,N/A
MAMTF,MCAN Mortgage Corp,12.76,315.52,N/A,N/A,N/A
MARA,Marathon Patent Group Inc,37.11,1445.9,N/A,N/A,N/A
MARPS,Marine Petroleum Trust,5.92,11.84,N/A,N/A,N/A
MAURY,Marui Group Co Ltd,39.25,4207.4,N/A,N/A,N/A
MAUSY,Matsui Securities Co Ltd,17.63,2264.35,N/A,N/A,N/A
MBCN,Middlefield Banc Corp,22.59,144.11,N/A,N/A,N/A
MBI,MBIA Inc.,6.42,346.21,N/A,N/A,N/A
MBIN,Merchants Bancorp,34.05,978.84,N/A,N/A,N/A
MBKL,MBT Bancshares Inc,22.5,45.98,N/A,N/A,N/A
MBWM,Mercantile Bank Corp,29.99,489.75,N/A,N/A,N/A
MC,Moelis & Co,54.53,3024.32,N/A,N/A,N/A
MCB,Metropolitan Bank Holding Corp,49.95,414.35,N/A,N/A,N/A
MCBC,Macatawa Bank Corp,8.9,304.36,N/A,N/A,N/A
MCBI,Mountain Commerce Bancorp Inc,22.5,141.44,N/A,N/A,N/A
MCBK,Madison County Financial Inc,31,83.37,N/A,N/A,N/A
MCBS,Metrocity Bankshares Inc,14.79,379.73,N/A,N/A,N/A
MCHB,Mechanics Bank/CA,27000,523.26,N/A,N/A,N/A
MCHT,Mauch Chunk Trust Financial Corp.,13,43.51,N/A,N/A,N/A
MCY,Mercury General Corp,59.35,3285.5,N/A,N/A,N/A
MDIBY,"Mediobanca - Banca Di Credito Finanziario SPA, Milano",11.01,9474.59,N/A,N/A,N/A
MDLY,Medley Management Inc,10.35,6.93,N/A,N/A,N/A
MDVT,Middlebury National Corp,38.2,32.96,N/A,N/A,N/A
MDWT,Midwest Holding Inc,51.64,140.41,N/A,N/A,N/A
MEDH,MedX Holdings Inc,0.02,2.96,N/A,N/A,N/A
MET,Metlife Inc.,57.44,51288.78,N/A,N/A,N/A
MFA,MFA Financial Inc,4.18,1894.93,N/A,N/A,N/A
MFBP,M&F Bancorp Inc,5.3,11.27,N/A,N/A,N/A
MFC,Manulife Financial Corp,19.53,37888.2,N/A,N/A,N/A
MFG,Mizuho Financial Group Inc,3.1,39308.45,N/A,N/A,N/A
MFGI,Merchants Financial Group,67,180.2,N/A,N/A,N/A
MFIN,Medallion Financial Corp.,6.9,171.66,N/A,N/A,N/A
MFNC,MacKinac Financial Corp,12.93,135.77,N/A,N/A,N/A
MGHCF,Minco Capital Corp,0.07,3.21,N/A,N/A,N/A
MGI,MoneyGram International Inc,8.38,607.7,N/A,N/A,N/A
MGRC,McGrath RentCorp,80.48,1940.45,N/A,N/A,N/A
MGTI,MGT Capital Investments Inc,0.15,77.54,N/A,N/A,N/A
MGYR,Magyar Bancorp Inc,10.75,62.47,N/A,N/A,N/A
MHLD,Maiden Holdings Ltd,2.62,222.08,N/A,N/A,N/A
MIFF,Mifflinburg Bancorp Inc,35,65.49,N/A,N/A,N/A
MILE,Metromile Inc,19.01,596.66,N/A,N/A,N/A
MITT,AG Mortgage Investment Trust Inc,4.27,176.92,N/A,N/A,N/A
MIUFY,Mitsubishi UFJ Lease & Finance Co Ltd,10.91,4859.86,N/A,N/A,N/A
MKL,Markel Corp,1085.09,14955.79,N/A,N/A,N/A
MKTX,MarketAxess Holdings Inc,541.07,20563.54,N/A,N/A,N/A
MLGF,Malaga Financial Corp,23.05,168.93,N/A,N/A,N/A
MLVF,Malvern Bancorp Inc,16.24,123.59,N/A,N/A,N/A
MLYBY,Malayan Banking Bhd Maybank,3.93,22106.14,N/A,N/A,N/A
MMAC,MMA Capital Holdings Inc,23.5,134.1,N/A,N/A,N/A
MN,Manning & Napier Inc,7.57,124.84,N/A,N/A,N/A
MNAT,Marquette National Corp,30.28,133.07,N/A,N/A,N/A
MNBP,Mars Bancorp Inc,395,31.6,N/A,N/A,N/A
MNMB,Merchants & Marine Bancorp Inc,37.1,49.36,N/A,N/A,N/A
MNRL,Brigham Minerals Inc,15.64,677.46,N/A,N/A,N/A
MNSB,MainStreet Bancshares Inc,18.21,135.55,N/A,N/A,N/A
MOFG,MidWestOne Financial Group Inc,28.62,458.4,N/A,N/A,N/A
MOGO,Mogo Inc,8.86,260.43,N/A,N/A,N/A
MOTNF,Clean Power Capital Corp,1.65,181.27,N/A,N/A,N/A
MPB,Mid Penn Bancorp Inc,25.1,211.32,N/A,N/A,N/A
MQBKY,Macquarie Group Ltd,116.3,40199.77,N/A,N/A,N/A
MRBK,Meridian Corp,25,153.4,N/A,N/A,N/A
MRCC,Monroe Capital Corp,9.27,197.48,N/A,N/A,N/A
MRLN,Marlin Business Services Corp,13.55,164.14,N/A,N/A,N/A
MS,Morgan Stanley,77.4,140094,N/A,N/A,N/A
MSADY,MS&AD Insurance Group Holdings Inc,14.91,16816.02,N/A,N/A,N/A
MSBC,Mission Bancorp/CA,78,150.8,N/A,N/A,N/A
MSBI,Midland States Bancorp Inc,23.14,516.61,N/A,N/A,N/A
